Price,Close,High,Low,Open,Volume
Ticker,AGCO,AGCO,AGCO,AGCO,AGCO
Date,,,,,
2024-01-02,116.69168853759766,118.81318300737506,115.4398186962386,115.75517026782867,663900
2024-01-03,114.06370544433594,115.47803014156831,113.63367596132088,115.07666831863963,995200
2024-01-04,114.42683410644531,115.16267135981144,113.53810024526415,114.2548208658664,678100
2024-01-05,116.59611511230469,117.27460977285206,113.80567722827215,113.80567722827215,980200
2024-01-08,117.67597961425781,117.83843455304638,115.19134936450733,115.91762836672542,511100
2024-01-09,115.75516510009766,116.59612202908808,115.00977676093598,116.59612202908808,545500
2024-01-10,114.95244598388672,115.75516967599013,114.09237967744731,115.54493772629165,438000
2024-01-11,114.05414581298828,115.73605233031702,113.71011931419696,114.96199635346632,539700
2024-01-12,112.37224578857422,115.63093939850862,112.35313644458591,114.8664344034968,458200
2024-01-16,113.04117584228516,113.13673713241613,109.93538652244415,111.49305669507052,622500
2024-01-17,109.99272918701172,111.97087791740627,109.12311191060347,111.6937450539097,839200
2024-01-18,110.69988250732422,111.06302561168734,109.0944353586582,110.53742758740334,475900
2024-01-19,112.43914031982422,112.45824966272485,109.71559598690197,110.69989119062467,416200
2024-01-22,113.02206420898438,114.48418044701181,111.93264941341371,112.27667590578965,590800
2024-01-23,114.44595336914062,114.65619258921932,112.73537924042502,113.55721948753663,417700
2024-01-24,115.65003967285156,115.76471760036792,113.63367230608631,115.32512981451099,525100
2024-01-25,118.37358856201172,120.82955110123925,116.77768499467842,116.77768499467842,705100
2024-01-26,117.68553161621094,119.40565679333531,117.43706641731117,118.60293316884915,435700
2024-01-29,118.11556243896484,118.650718818937,116.14697204042095,117.60908100950331,500300
2024-01-30,118.74628448486328,119.28143359367063,116.97837492967348,117.1694975282876,480300
2024-01-31,116.90191650390625,118.96606815996466,116.62478364765195,118.50737103233364,603100
2024-02-01,117.80020141601562,118.10600193138765,115.76471741908871,117.52307585062235,458100
2024-02-02,116.99748229980469,117.92444219825374,115.63093459926985,116.7394660669416,493600
2024-02-05,115.56404113769531,116.63434662974613,114.46506798537824,115.8316156879931,1101600
2024-02-06,116.76811981201172,124.48002570897697,116.17562817153252,124.30801976813915,1620100
2024-02-07,112.67803955078125,117.4083926555833,111.04391014570223,117.01658188957302,1187600
2024-02-08,112.20978546142578,113.19408067393414,111.29238388595607,112.52514430354776,847400
2024-02-09,109.93539428710938,112.20978523264549,109.55314180872811,111.62685184355747,747000
2024-02-12,111.4930648803711,112.45825075052937,109.82071666229609,110.23163680180033,778000
2024-02-13,107.82345581054688,109.79204618654857,107.31697438688504,109.37156774085523,681400
2024-02-14,108.56116485595703,109.36596417761395,106.14678151027809,109.36596417761395,1406800
2024-02-15,105.94559478759766,107.81386737843333,105.12163679634534,107.79470879452715,1343000
2024-02-16,104.7384033203125,106.34799488665861,104.43181479861072,105.38990484263466,967600
2024-02-20,102.00785064697266,103.7132497974237,101.3371832139955,103.70366685004838,988200
2024-02-21,103.21503448486328,104.10605843899438,101.55753563978098,101.85454118794257,776600
2024-02-22,102.6114501953125,103.00427065239774,101.73959198878401,102.46773521565578,765700
2024-02-23,103.694091796875,104.52762548204876,102.1994663127255,102.93719976219448,685600
2024-02-26,103.05216217041016,104.28809919685425,102.14197955797269,103.04258653297386,647000
2024-02-27,103.06175231933594,103.31085779337799,101.9407886506178,103.31085779337799,1130400
2024-02-28,104.91085815429688,105.39948611568923,102.54437461360166,102.92761208705357,652100
2024-02-29,105.10246276855469,105.7635471616776,104.21143883812013,105.7635471616776,872300
2024-03-01,105.83062744140625,106.52045345604634,104.14438688446903,105.37074830474424,552400
2024-03-04,104.53720092773438,106.75038649802553,104.32641995729776,106.38631492795561,768500
2024-03-05,105.0162582397461,106.53961801613865,104.28810770460596,104.44140563185546,610200
2024-03-06,106.28093719482422,106.31926167674256,104.30727388873859,105.14080761410804,675500
2024-03-07,108.2833251953125,109.30848117084706,106.07972265005642,106.10846417961358,637100
2024-03-08,107.98633575439453,109.24143146328296,107.15279472464755,109.02107483070509,581600
2024-03-11,109.873779296875,109.9695868504708,108.07257243647133,108.07257243647133,612100
2024-03-12,108.68572998046875,110.8126909116824,108.26416804897877,110.27615555079156,590000
2024-03-13,112.19233703613281,112.62348191999187,108.93482958877728,108.93482958877728,863300
2024-03-14,111.12886810302734,113.2462463364042,110.42946642688678,112.85343319836237,693100
2024-03-15,111.5504150390625,112.33604851883395,110.60190801937844,110.60190801937844,1610200
2024-03-18,110.55401611328125,111.90492666363359,109.70131650859757,111.18635908824976,776000
2024-03-19,111.03305053710938,112.04862360736918,110.14202653652306,110.18993396082261,579900
2024-03-20,113.064208984375,113.52408811553063,110.69772538846037,110.89892342204683,626800
2024-03-21,113.08336639404297,114.14684692455377,112.68097033105155,113.14084945742833,456000
2024-03-22,113.3995361328125,113.80193218966808,112.32647267155082,113.48576072657578,524100
