Price,Close,High,Low,Open,Volume
Ticker,DHR,DHR,DHR,DHR,DHR
Date,,,,,
2024-01-02,232.32223510742188,232.777406924731,226.46445902765038,227.44405907670446,2764000
2024-01-03,228.38406372070312,233.05445525899515,227.47373521387146,232.87635440041146,2425000
2024-01-04,230.1750030517578,230.79838616098252,227.58254583933967,227.91896858783184,2719400
2024-01-05,227.86952209472656,230.59061812160388,226.62277080511257,228.45333235346718,2236700
2024-01-08,232.3915252685547,232.63889766558339,225.85099848718002,226.5040652389548,3123200
2024-01-09,228.4434356689453,239.0111913632547,224.12926085189366,231.75823152802002,5255800
2024-01-10,227.22634887695312,228.65121605168014,224.02039773381736,228.13667732782642,3334500
2024-01-11,225.56402587890625,227.1867880032835,223.82251475139137,226.56340480664707,2440500
2024-01-12,222.87261962890625,227.09772890813943,222.36797032270377,226.36551634370682,2795500
2024-01-16,224.36672973632812,227.17687611249426,222.4471178136873,222.6351232223763,3267400
2024-01-17,222.2195587158203,226.73162852147564,221.13111420199473,223.16946020205728,2225800
2024-01-18,223.9313507080078,225.09895608773076,220.19108186679847,221.34878268922895,2867300
2024-01-19,228.62152099609375,229.23499957142104,222.36794095677357,224.20839178116492,3258200
2024-01-22,229.5318603515625,230.81819960820104,226.37538670820825,228.3444760755924,2276200
2024-01-23,229.66050720214844,230.7984140293813,228.10700151964383,230.64999665136335,1890200
2024-01-24,226.2071990966797,230.44221302177968,226.0290831324366,228.30491204133338,2106300
2024-01-25,225.00001525878906,229.67040687464853,224.2381041214564,228.8986062778118,3468300
2024-01-26,230.551025390625,238.05135669797468,230.42238693981724,234.05381115025526,6343900
2024-01-29,231.4712677001953,231.5603332285307,228.72048814307925,230.4718887569763,3127700
2024-01-30,242.3754425048828,242.82070974642147,235.95366551159145,241.4849080218055,6158400
2024-01-31,237.388427734375,246.1651947000673,237.08168840749093,243.01862536161764,5077100
2024-02-01,242.55355834960938,242.72176974751767,236.20103777090625,236.84419988634448,2711700
2024-02-02,243.740966796875,245.2647740864156,239.60489255655756,241.4354542944667,2819500
2024-02-05,243.2362823486328,246.61042960012816,240.54487007463118,242.28636591728716,2644200
2024-02-06,245.59130859375,245.84858554528967,241.85103922185357,243.10769520504593,2443100
2024-02-07,244.0476837158203,247.26352451228158,243.64198940710958,245.31422903701522,2300700
2024-02-08,243.2857666015625,244.2059996426037,241.51458712673107,243.8596722952247,1774400
2024-02-09,240.3964385986328,244.65124589474507,240.32718219414295,242.4248948198687,2538300
2024-02-12,244.2356719970703,244.4830443486739,239.1496970520368,241.1979322721413,2284800
2024-02-13,238.99139404296875,243.61230812492593,235.89428712422034,242.4051297456622,2189400
2024-02-14,245.3834991455078,245.85844986363938,239.78298512066712,240.46573527083748,2838100
2024-02-15,246.3433074951172,249.05449900635463,244.9382191474228,244.9382191474228,2360900
2024-02-16,247.3723602294922,249.67787243864032,245.67043718324044,246.1948653790541,2152200
2024-02-20,245.1658172607422,248.15406467523206,244.22580525688844,246.04646231043424,1982800
2024-02-21,248.01553344726562,248.11448843515865,243.47378033342721,243.7211527047484,1545400
2024-02-22,250.0736846923828,250.75643488383704,246.62037589562456,248.777455823813,1826000
2024-02-23,251.17201232910156,252.31982377853646,249.9252609882123,251.3303342735226,1351200
2024-02-26,249.0050048828125,251.64695490361663,247.8077311475156,250.6574654900574,2506300
2024-02-27,252.18128967285156,252.90361276625816,248.72796594953795,249.4700830601151,2265200
2024-02-28,253.02236938476562,253.86342640968186,250.87516386028065,251.38970263331933,1945000
2024-02-29,250.47935485839844,254.38783510519426,250.32103292525167,254.07119123890075,3466700
2024-03-01,253.1806640625,253.68531335160543,248.82691646473006,250.30126120000577,1908700
2024-03-04,253.49729919433594,256.2777620736753,252.17138698328756,253.82381741925715,2888700
2024-03-05,251.7162322998047,255.24870194957947,251.50843286233015,252.47814343932924,2277800
