Price,Close,High,Low,Open,Volume
Ticker,EMR,EMR,EMR,EMR,EMR
Date,,,,,
2024-01-02,92.52900695800781,93.53266001084239,92.0464818766113,93.14663847317549,2159900
2024-01-03,91.37096405029297,92.05614888989996,90.95599212064371,91.8727869741074,2199000
2024-01-04,91.77626037597656,92.59655146463888,91.38059367507968,91.68940940361423,2221200
2024-01-05,92.13333892822266,92.24914023397534,91.4481542057754,91.70871450646726,1638300
2024-01-08,92.4228515625,92.47110701611048,91.1875885226563,91.75697195171617,2045500
2024-01-09,91.31304931640625,92.27809948197185,91.11038966516729,91.98858148720278,2378500
2024-01-10,91.45780181884766,91.69906436252829,91.02353218532191,91.24549696511745,1665200
2024-01-11,91.48675537109375,91.78591855564785,90.39624401081916,91.6894150150899,2066900
2024-01-12,91.5543212890625,92.28775418926644,91.17795227474097,92.10439964559005,1572100
2024-01-16,90.00057983398438,91.08143129923377,89.72071440451847,91.06213353567506,2401700
2024-01-17,89.18993377685547,89.65316109200121,88.77496191467746,89.05482734384387,2894200
2024-01-18,90.40591430664062,90.53136819769867,89.36365819358262,89.66282879956664,2426300
2024-01-19,91.5929183959961,91.67976938023692,89.82687475561183,90.25149183870377,5133600
2024-01-22,92.7799301147461,93.00189491106326,91.77627697479934,91.77627697479934,2862900
2024-01-23,92.43250274658203,93.22384357984606,91.7762683461132,93.175595489704,1768200
2024-01-24,91.0910873413086,93.3589538276133,91.01388155862833,93.3589538276133,2467300
2024-01-25,92.87642669677734,92.9150295872724,91.20689401867025,91.90173132208419,2344500
2024-01-26,91.73766326904297,93.10804005332484,91.39989719510835,93.10804005332484,2344500
2024-01-29,91.68941497802734,91.81486884442715,90.42519430016017,91.39989699372232,2856400
2024-01-30,91.4384994506836,91.7087123079599,90.46379676172424,91.04282536485177,2896500
2024-01-31,88.52406311035156,91.39990874644906,88.44685732290957,91.30340519352113,4273000
2024-02-01,90.48312377929688,90.61823024062332,89.20925759911192,89.42156985626774,2724600
2024-02-02,90.69541931152344,91.18758960298838,89.5084043484787,90.00058200269224,2128600
2024-02-05,90.13568115234375,90.2128869276943,88.93902108540199,90.02952505192373,2412800
2024-02-06,90.96563720703125,91.08143852306473,89.77862217844527,90.46380696172292,2776000
2024-02-07,100.45207977294922,102.01546387187648,96.79454570328024,98.3193195448582,9072200
2024-02-08,98.80184173583984,101.5715385980827,98.45442305755331,100.9732047937561,5305900
2024-02-09,99.59319305419922,99.70900174664881,98.47373847818585,98.87905785763466,3497200
2024-02-12,100.63544464111328,100.79950142592581,99.3036778706211,99.57389077801811,3904300
2024-02-13,101.02144622802734,101.06970167882656,99.04309054922817,99.79583582285652,5069100
2024-02-14,102.52692413330078,102.87434277042072,101.61012945146928,101.96720065149484,5078100
2024-02-15,102.52207946777344,103.3755384511024,102.26991827296432,102.87122346079738,3104800
