Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-01-02,416.4418029785156,418.8009232847274,414.1418753097514,418.61337450063144,2463700
2024-01-03,413.3620910644531,415.89890991360744,412.1085023926461,415.76073350515907,3093700
2024-01-04,414.34918212890625,417.98168240356074,412.87843326369085,413.0955934424828,2042600
2024-01-05,414.0037536621094,417.30061832482215,411.60511103341156,415.05991312064447,2415900
2024-01-08,417.1871337890625,417.28597384560607,411.7990231853106,414.6759748311326,2125400
2024-01-09,417.80010986328125,418.88762208349294,413.7862258085574,414.33986290776346,2439300
2024-01-10,423.40570068359375,424.59208315815636,419.33250044973363,421.1614941934511,2709300
2024-01-11,421.873291015625,426.88571290637964,420.93406910163276,425.11603538099524,2320600
2024-01-12,424.2262878417969,426.2134377437064,422.842195077269,425.06663957521147,1892400
2024-01-16,423.48480224609375,424.8491330189881,421.6755705095307,422.5851344151133,2398000
2024-01-17,422.5653991699219,425.49177119617264,420.64743117523403,420.64743117523403,2690400
2024-01-18,425.827880859375,426.32220185637135,422.5950324005642,423.77151878709225,2075700
2024-01-19,431.81903076171875,432.10574537578253,424.4635322221983,427.63706444152876,2400200
2024-01-22,434.7552795410156,435.93176582655985,432.2935708419819,433.99403613252804,2715500
2024-01-23,433.7765808105469,435.59567850037615,432.8867788589365,435.26940973919636,2328600
2024-01-24,433.71722412109375,435.9218763021702,430.81061445089796,433.54914171879494,2725700
2024-01-25,431.8387756347656,433.64800723173033,429.5253571782993,431.04787417255653,2977800
2024-01-26,433.5491943359375,434.8937632046382,425.77848235238355,427.6371040514427,2725400
2024-01-29,435.5758972167969,435.9515860197895,429.73304930401696,430.83042748763773,2314200
2024-01-30,440.133544921875,441.1518449993948,435.05191043825937,435.8922621925529,2663600
2024-01-31,444.1276550292969,456.75260246533225,441.5472837290679,444.8888985051937,4740500
2024-02-01,455.68487548828125,455.90237793109736,448.89287973027905,449.8321016812939,3292700
2024-02-02,455.3487243652344,458.57170697731675,453.2923622566099,456.96021567127553,2050300
2024-02-05,451.5721435546875,456.12976883372403,450.35610299549535,454.2909091388563,2438800
2024-02-06,455.2696228027344,455.32893890668674,450.18798864378834,450.18798864378834,2201900
2024-02-07,456.66363525390625,456.9898738425514,454.3996365991997,455.9715737773186,2544300
2024-02-08,453.0550537109375,455.51676242506124,452.2542561733079,454.7752809886667,2081300
2024-02-09,452.6794128417969,453.776791001686,451.1865537372298,452.8573611643259,2155400
2024-02-12,453.49993896484375,454.1821043218065,450.89980581742896,453.964601886674,1794500
2024-02-13,455.2300720214844,456.6339568909086,450.8602914197739,451.572114843391,2407700
2024-02-14,459.9063415527344,460.16339810908556,454.2216504586662,456.7525713842617,2202700
2024-02-15,465.9272155761719,466.7477751874072,459.94594335169995,460.53910443405783,2354100
2024-02-16,462.81298828125,468.7843944606496,461.7650301658833,468.7843944606496,2237200
2024-02-20,446.6190185546875,450.6724567439966,445.0075272851777,447.65708057480947,5044200
2024-02-21,453.8360595703125,454.37983072680515,446.86614612937643,448.1612646259421,2895800
2024-02-22,466.2040100097656,467.1333358853094,456.3373521807381,456.56475069784653,2572800
2024-02-23,468.0428771972656,469.77300058002,466.50056802450086,468.3493537828198,1764100
2024-02-26,469.1205139160156,469.6840169126827,466.6390129003346,467.6276548768183,2066900
2024-02-27,469.3577575683594,469.6049180515444,464.6122883595899,469.1600171134284,2011100
2024-02-28,473.4112548828125,473.69796952712335,468.29009627016075,468.78441729850846,1931900
2024-02-29,469.36767578125,472.95645099372297,466.6884342940621,472.57086613970773,3072500
2024-03-01,471.2164611816406,472.07657493060026,468.517457546146,469.5159956630103,1748300
2024-03-04,463.16888427734375,471.2164446976462,460.47977681104373,470.2673568186461,3212400
2024-03-05,462.2099304199219,463.910395989791,459.34287444667865,462.06164014338475,2015100
2024-03-06,466.2435607910156,468.24060671617275,461.8539880144884,461.8539880144884,1917100
2024-03-07,462.2297058105469,467.8946053655889,460.59845248586396,467.8254233530212,2178100
2024-03-08,463.9301452636719,466.2633258547846,461.79467496601546,461.79467496601546,1596900
2024-03-11,463.8312683105469,464.0388746755034,459.4120375164367,463.6730819754987,1774500
2024-03-12,467.4991149902344,468.98207791815616,463.38636084961627,465.1856964431913,1853900
2024-03-13,470.2080383300781,470.75180956872595,467.4101945597001,468.84373762318063,2103900
2024-03-14,474.0340576171875,476.52542449365916,471.7601630076926,475.5565445117744,2757700
2024-03-15,470.4255065917969,473.0256398626076,467.7067411090944,467.963797682166,4179300
2024-03-18,473.4507751464844,475.35884693838943,471.23619658164426,473.2036146499902,2072300
2024-03-19,478.5027160644531,479.10577318735017,474.0637232498843,476.149743335791,2049500
2024-03-20,482.4968566894531,482.9022035354807,478.14683786448813,478.8191071926002,1691100
2024-03-21,483.09002685546875,484.4345654530334,477.90952241478044,482.98126054983595,2580300
2024-03-22,476.19921875,483.3372153967203,475.99158220109484,482.7637861249255,2277800
2024-03-25,470.6331481933594,476.84181877376926,469.02165689893343,476.1299953238069,2600300
2024-03-26,471.384521484375,474.54818814036196,466.94552829585297,472.2940854535337,2515100
2024-03-27,472.52142333984375,476.68359742456875,469.35775708991736,475.0424481973782,2309400
2024-03-28,476.100341796875,476.95055944662903,471.8590591100699,472.48190840607845,2214500
2024-04-01,472.9663391113281,477.7909170246144,471.9084849026854,475.20067974435665,1648200
2024-04-02,473.984619140625,474.95349914647494,470.89016490340026,471.5525683078918,3265100
2024-04-03,471.9974365234375,477.81062564236043,471.7897999981154,474.98312424638806,2265000
2024-04-04,464.434326171875,476.48587416836324,463.6730827185091,474.5184863079104,2552600
2024-04-05,471.7304992675781,473.8659694949291,467.1629782969765,468.6162831668005,2462700
2024-04-08,474.0669250488281,474.8886211480879,469.5425660804069,471.6413852377911,1961800
2024-04-09,467.44378662109375,474.10657422497997,463.1570203365461,473.1957504426459,2217200
2024-04-10,464.4836120605469,469.65147222330233,464.1668011954342,465.47362335446365,2710500
2024-04-11,463.6322021484375,465.65183371516576,459.55336031507807,463.60250301713626,2299900
2024-04-12,460.7314758300781,464.83010700999796,457.49411945718157,461.34527801829455,2486300
2024-04-15,455.1973571777344,466.29537668556367,453.85092594206714,465.54295834172757,2070500
2024-04-16,455.2270202636719,458.7514582066296,454.41520371621294,455.4052150532853,1787200
2024-04-17,455.5635986328125,458.7811353239062,453.5736662727033,458.14751359646465,1735000
2024-04-18,450.1581726074219,457.29614597623566,449.2671382228616,455.9002263482064,1998900
2024-04-19,450.84124755859375,455.26656893921955,448.0691978699584,454.30628700982817,2548800
2024-04-22,452.1876525878906,456.13778793092433,450.58383914674147,452.9301610486261,2157400
2024-04-23,458.19708251953125,458.35548796875725,452.74211004792227,453.9004366773089,2029100
2024-04-24,457.8802490234375,463.473807104093,455.75173066512156,460.6423891473864,4043100
2024-04-25,457.494140625,459.3652766202496,452.1579950404074,456.3358442388688,2006500
2024-04-26,457.8010559082031,460.177077075279,456.3358282523447,458.2861517954222,1963300
2024-04-29,452.5342102050781,456.97935165642446,451.1283807445227,456.3457600805437,2120700
2024-04-30,446.693115234375,453.1479781001026,446.3763043640608,451.70257004682185,2698800
2024-05-01,437.654296875,444.49527849338466,434.0011528091185,441.34701963918207,4979100
2024-05-02,436.6940002441406,440.2184381339847,433.67444758392594,438.57501571368135,3866500
2024-05-03,439.1492614746094,440.8125036563073,432.5359923032618,440.4659936095889,3711500
2024-05-06,444.8813781738281,446.0000957897599,441.10943749437956,442.76276967804154,2536200
2024-05-07,448.53448486328125,448.7720778900938,443.05972397701316,447.2474823510535,2345300
2024-05-08,450.22747802734375,450.5640782811974,445.42594685927634,449.4651801182708,2332400
2024-05-09,450.94024658203125,451.4748611545231,449.0196222037714,449.0196222037714,1970100
2024-05-10,452.4154052734375,453.99939929010617,450.43538253985247,452.7618850816155,1729900
2024-05-13,453.1876220703125,454.13802454203,450.9600964501075,452.3658957001636,2069300
2024-05-14,449.66314697265625,454.395399803694,444.8120674062694,453.3459902370484,2991000
2024-05-15,453.4252014160156,454.01921427264756,448.26725070663895,448.26725070663895,2437800
2024-05-16,454.2864685058594,460.28593440980154,454.23698002725365,455.4051860796161,2412200
