symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
ABBV,10000,11552.98282007229,1552.9828200722895,15.529828200722907,7.500227655628344,50.068517803902424,-34.53868960317952,0.9721387614897514,1.5218274772792653,0.9680749732545795,10.204723224269319,1312.9308837482204,7,5,2,71.42857142857143,476.78120569448674,415.46160420007305,1.1475939072937391,2.8689847682343474,221.85468858175537,1348.3426975402872,-773.4515675622929,21.571428571428573,38,3,1
LULU,10000,12088.379119873047,2088.379119873047,20.88379119873047,9.967895237770929,50.068517803902424,-29.184726605171953,0.32803764186129886,0.6703996070425858,0.5309768403143562,31.1512581143322,4664.479949951172,7,4,3,57.14285714285714,1509.3399276733398,1316.3268636067708,1.146630042585098,1.5288400567801304,298.339874267578,2094.399871826172,-2031.4796752929688,19.142857142857142,32,3,3
ROK,10000,11516.3878096321,1516.3878096321005,15.163878096321003,7.329496284578729,50.068517803902424,-34.904639707581424,0.42254744500857694,0.8823979567388107,0.5326652006732651,17.184851778628385,1771.8464754714169,9,3,5,33.33333333333333,1169.6051694932664,453.1894826406333,2.5808303464551736,1.5484982078731042,87.7420680706665,1274.5276692302289,-1039.22819236278,19.25,36,1,2
BKSY,10000,12845.58831357956,2845.5883135795593,28.455883135795588,13.366595608333176,50.068517803902424,-21.612634668106836,0.46638792976196125,0.7187592216691925,0.4064108561246276,39.59028597881747,4995.2110595703125,32,13,19,40.625,1482.9959760445815,864.9136513157895,1.714617376877456,1.1731592578635224,88.92463479936123,1940.639928817749,-1807.7395820617676,4.28125,11,3,4
IYW,10000,14999.599327619624,4999.599327619624,49.99599327619624,22.522220379975664,50.068517803902424,-0.07252452770618589,1.1182461539456672,5.306612659727845,2.4322320652865734,9.421451400743527,1189.634335990988,8,6,2,75.0,976.694335105581,430.2833415069317,2.269886469889857,6.80965940966957,624.9499159524528,1358.1228951844332,-528.2096264270658,30.125,66,5,2
CCO.TO,10000,22853.02861820619,12853.02861820619,128.5302861820619,51.172182025021364,49.23432539466974,79.29596078739216,0.8694033835416517,10.207822459222832,1.8911195423046334,12.591352043543232,2368.5041698583955,16,9,6,56.25,1929.043003608366,922.9129054706315,2.09016798028701,3.135251970430515,681.3122933863046,3741.6914657273815,-1805.2981210560743,10.933333333333334,21,5,2
PGR,10000,10526.934852478056,526.9348524780562,5.269348524780559,2.6060895832471287,50.068517803902424,-44.79916927912186,0.34900814778760847,0.45294640348720017,0.2596729084458003,11.633492360712532,1374.2980541300585,10,4,6,40.0,661.7161892938232,353.32165078287267,1.8728435911799493,1.2485623941199662,52.69348524780568,1287.0766599059687,-615.0546597898873,14.1,27,2,3
AVGO,10000,11851.317708821383,1851.3177088213833,18.51317708821383,8.882139763189123,50.068517803902424,-31.555340715688594,0.310383061129995,0.8057107334191921,0.49545350603295196,22.97744875465357,2517.240997225388,15,7,8,46.666666666666664,946.3361144593828,596.6293865492867,1.586137283536582,1.3878701230945092,123.42118058809234,2284.517124129652,-1285.739244397285,12.2,34,4,3
SPOT,10000,12533.239532470703,2533.239532470703,25.332395324707036,11.977082604505807,50.068517803902424,-24.736122479195387,1.196759661733293,1.8225715348292442,0.8205628289158811,13.89925983183997,1931.5399169921875,10,4,6,40.0,1272.4899673461914,426.12005615234375,2.9862240675460225,1.9908160450306815,253.32395324707034,2220.420196533203,-591.840087890625,19.5,31,1,2
SOFI,10000,25779.329763412476,15779.329763412476,157.79329763412474,60.7106396632765,50.068517803902424,107.72477983022232,1.1571206684537205,8.993527252659977,1.9766262295660728,17.545207036255423,5406.042612075806,21,12,8,57.14285714285714,2130.798391977946,1143.7963316440582,1.862917665521099,2.794376498281649,727.4006532828012,4284.278778076172,-2933.9558486938477,7.75,23,5,2
