symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
ABBV,10000,8242.49308859256,-1757.5069114074395,-17.57506911407439,-9.211822969108141,49.35948120057962,-66.93455031465402,-0.8403765422443492,-0.6911457705942944,-1.187647911957585,25.428889044581936,2810.7056407656364,11,1,10,9.090909090909092,1240.5331817745364,299.8040093181976,4.137813849106648,0.41378138491066474,-159.77335558249447,1240.5331817745364,-407.7401580810547,7.454545454545454,27,1,9
LULU,10000,9505.07878112793,-494.9212188720703,-4.949212188720709,-2.506006435637642,49.35948120057962,-54.30869338930033,-0.967326967638076,-0.25001519272585715,-0.2378232910537975,19.795645755606316,1990.770736694336,14,2,12,14.285714285714285,1293.6798095703125,256.8567365010579,5.036581197725309,0.8394301996208848,-35.351515633719316,1319.5602416992188,-632.1498565673828,5.571428571428571,22,1,7
ROK,10000,11136.21021763897,1136.2102176389708,11.36210217638971,5.528243696362978,49.35948120057962,-37.99737902418991,0.26552218241284997,0.7577719946655963,0.5313543870861859,14.994090909104909,1558.5408042543477,12,3,8,25.0,1037.7628096201097,250.09228830452537,4.149519430029269,1.5560697862609758,71.8714861766334,1443.2447924453804,-424.4487534493416,8.363636363636363,31,1,4
RDDT,10000,9815.199928283691,-184.8000717163086,-1.8480007171630897,-1.0210678809024931,35.418561507773646,-37.266562224936735,-0.14443635541311617,-0.08244997729130375,-0.1304085249921599,22.413598861694336,2241.3598861694336,7,2,5,28.57142857142857,743.4698028564453,334.34793548583986,2.2236410755045095,0.8894564302018039,-26.400010245186962,1114.9198608398438,-473.7601318359375,4.857142857142857,23,2,5
BKSY,10000,10616.959659576416,616.959659576416,6.169596595764171,3.0386318793898637,49.35948120057962,-43.189884604815454,0.14114311342027627,0.38262863751524956,0.25527189566731917,16.12424160363136,2040.999997138977,7,2,5,28.57142857142857,1474.1001224517822,466.2481170654297,3.1616216098196452,1.2646486439278581,88.13709422520225,1477.120792388916,-982.2995615005493,2.857142857142857,6,2,4
IYW,10000,12836.423775582503,2836.4237755825034,28.364237755825037,13.297942503747628,49.35948120057962,-20.995243444754585,1.0148333435487298,3.960702559011403,1.542094130415807,7.161415767334165,839.6325169671836,9,5,3,55.55555555555556,714.6564702178714,200.7728963440812,3.559526625511768,5.932544375852948,307.79897396811475,1627.4892309087486,-252.0296362114717,18.875,36,3,1
CCO.TO,10000,10417.649781705886,417.6497817058862,4.176497817058866,2.066888762741703,49.35948120057962,-45.18298338352076,0.08406999598392653,0.12435221678085578,0.1353933713270002,33.586034291765394,3571.1756028190057,11,4,7,36.36363636363637,1169.4886015411223,608.6149463512289,1.9215574782585372,1.098032844719164,37.968161973262454,1316.900634765625,-1418.8276095417004,4.7272727272727275,10,2,5
PGR,10000,9422.525012920098,-577.4749870799023,-5.774749870799023,-2.9303084741684304,49.35948120057962,-55.13423107137864,-0.5658715414308025,-0.3442514915867154,-0.3870129901000351,16.774799853973587,1885.6270974448107,8,1,7,12.5,1302.7014410896015,268.59663259564377,4.8500289393081895,0.692861277044027,-72.1843733849881,1302.7014410896015,-413.44084334272344,15.875,35,1,6
AVGO,10000,8703.747663506349,-1296.2523364936515,-12.962523364936517,-6.706122047015606,49.35948120057962,-62.32200456551614,-1.1406585969241805,-0.4320478472106706,-0.7374302876110193,30.00251812067442,3129.893053134494,8,1,6,12.5,1325.0995744433246,449.6319753905372,2.9470759353633196,0.4911793225605533,-227.79053166130447,1325.0995744433246,-1228.0329499204963,7.285714285714286,12,1,6
SPOT,10000,11165.680603027344,1165.6806030273438,11.656806030273437,5.667784130393039,49.35948120057962,-37.702675170306186,0.26923871018331286,0.40627148732861307,0.26901191654899914,28.69215879982446,4492.738464355469,10,3,7,30.0,1887.7598063151042,642.5141165597098,2.9380830049664315,1.2591784306998992,116.56806030273441,2832.95947265625,-1759.4195556640625,8.4,38,2,5
SOFI,10000,6804.02780008316,-3195.9721999168396,-31.9597219991684,-17.513468977758794,49.35948120057962,-81.31920319974802,-0.761880033701869,-0.78271444953787,-2.33506760928552,40.83190494060516,4083.1904940605164,11,1,9,9.090909090909092,916.3002014160156,543.592316892412,1.685638617290042,0.18729317969889356,-410.8748152280095,916.3002014160156,-1012.2199020385742,4.1,13,1,8
NFLX,10000,10690.335109710693,690.3351097106934,6.903351097106936,3.3940767631816193,49.35948120057962,-42.45613010347269,0.16189775594754377,0.522132370167306,0.2993754580356824,13.221457797942898,1628.7645645141602,7,3,4,42.857142857142854,1008.8058433532714,584.0206050872803,1.727346320602007,1.2955097404515052,98.61930138724176,1405.7297973632808,-1149.2317199707031,15.285714285714286,44,2,3
IONQ,10000,13844.088314533234,3844.0883145332336,38.440883145332336,17.66090393386086,49.35948120057962,-10.918598055247287,1.2095971472307516,2.292075174310313,0.9875489799591168,16.771213953268013,1795.1404061317444,10,3,7,30.0,2054.7368392944336,331.4460290500096,6.199310473514252,2.6568473457918222,384.40883145332333,3131.960075378418,-517.0104088783264,3.5,12,1,3
META,10000,11984.260655315044,1984.2606553150436,19.842606553150443,9.472647977999715,49.35948120057962,-29.51687464742918,1.180878539186758,1.344769198443719,0.6951785814948537,14.755399347422586,2066.724131936091,10,4,6,40.0,1128.2646739945112,421.46634011049946,2.6769982952819062,1.7846655301879375,198.42606553150486,1496.5130981693392,-1326.9570481202222,13.6,42,2,3
AMAT,10000,13201.61354907787,3201.6135490778706,32.01613549077871,14.89827478721284,49.35948120057962,-17.343345709800914,0.8539789456935248,1.4202265822032998,0.553843907543726,22.542977220655715,2580.9882750507386,9,3,5,33.33333333333333,1453.9707112489505,557.7877931056712,2.606673593829437,1.564004156297662,112.79837501253587,1636.6811891923574,-1113.1138687317252,6.5,23,1,4
TTWO,10000,10918.829345703125,918.829345703125,9.18829345703125,4.493202389931206,49.35948120057962,-40.17118774354837,0.19939152443669111,0.67689168223537,0.40635452181930026,13.574244887583475,1695.9607543945312,10,3,7,30.0,1029.783432006836,310.07442147391185,3.3210847483383175,1.4233220350021363,91.88293457031247,1679.5997924804688,-446.79042053222656,16.5,62,1,3
RGTI,10000,12469.676922738552,2469.676922738552,24.69676922738553,11.667707609400457,49.35948120057962,-24.662711973194092,0.49498039947082123,2.0042586059445724,0.5565221223906054,12.32214702939812,1622.0388584136963,10,3,7,30.0,2273.0448150634766,621.3510746359825,3.65822947420689,1.567812631802953,246.96769227385522,2570.5199770331387,-1580.0396347045898,2.7,11,1,4
LMT,10000,12848.405672597084,2848.405672597084,28.48405672597083,13.350807992696211,49.35948120057962,-20.875424474608792,0.6973109779042406,1.5668482304564073,1.0231953237255391,18.17920598325832,2225.1734503659027,8,4,4,50.0,1262.0994444919304,549.9980263426589,2.2947344972936667,2.2947344972936667,356.05070907463573,1666.747770671878,-1008.0458598500413,23.875,63,2,4
