symbol,entry_date,exit_date,entry_alloc,exit_value,pnl,pnl_pct,entry_day_ret,still_open
COST,2024-11-15,2024-11-18,3333.33,3344.08,10.74,0.32,0.000000,False
ADBE,2024-11-15,2024-11-18,3333.33,3342.84,9.51,0.29,0.000000,False
MSFT,2024-11-15,2024-11-18,3333.33,3332.42,-0.91,-0.03,0.000000,False
CVX,2024-11-15,2024-11-18,3333.33,3347.57,14.23,0.43,0.000000,False
XOM,2024-11-15,2024-11-18,3333.33,3345.39,12.06,0.36,0.000000,False
FDX,2024-11-15,2024-11-18,3333.33,3324.88,-8.45,-0.25,0.000000,False
PNR,2024-11-15,2024-11-18,3333.33,3323.20,-10.14,-0.30,0.000000,False
INCY,2024-11-15,2024-11-18,3333.33,3334.12,0.78,0.02,0.000000,False
IP,2024-11-15,2024-11-18,3333.33,3324.51,-8.82,-0.26,0.000000,False
IT,2024-11-15,2024-11-18,3333.33,3322.94,-10.39,-0.31,0.000000,False
JBHT,2024-11-15,2024-11-18,3333.33,3341.81,8.47,0.25,0.000000,False
WMT,2024-11-15,2024-11-19,3333.33,3403.99,70.66,2.12,0.000000,False
INTC,2024-11-15,2024-11-21,3333.33,3300.39,-32.95,-0.99,0.000000,False
ROK,2024-11-15,2024-11-22,3333.33,3282.51,-50.82,-1.52,0.000000,False
ORCL,2024-11-15,2024-11-22,3333.33,3480.19,146.86,4.41,0.000000,False
COP,2024-11-15,2024-11-26,3333.33,3182.31,-151.02,-4.53,0.000000,False
PNC,2024-11-15,2024-11-26,3333.33,3393.16,59.83,1.79,0.000000,False
JCI,2024-11-15,2024-11-26,3333.33,3285.00,-48.34,-1.45,0.000000,False
EOG,2024-11-15,2024-11-28,3333.33,3300.87,-32.47,-0.97,0.000000,False
HON,2024-11-15,2024-11-28,3333.33,3341.73,8.39,0.25,0.000000,False
ORLY,2024-11-15,2024-11-28,3333.33,3408.97,75.64,2.27,0.000000,False
PCAR,2024-11-15,2024-11-28,3333.33,3437.87,104.54,3.14,0.000000,False
PCG,2024-11-15,2024-11-28,3333.33,3417.06,83.72,2.51,0.000000,False
PLD,2024-11-15,2024-11-28,3333.33,3448.79,115.46,3.46,0.000000,False
PH,2024-11-15,2024-11-28,3333.33,3337.47,4.14,0.12,0.000000,False
IR,2024-11-15,2024-11-28,3333.33,3380.37,47.04,1.41,0.000000,False
PNW,2024-11-15,2024-11-28,3333.33,3419.55,86.22,2.59,0.000000,False
IEX,2024-11-15,2024-11-28,3333.33,3376.40,43.06,1.29,0.000000,False
ITW,2024-11-15,2024-11-28,3333.33,3392.67,59.33,1.78,0.000000,False
JPM,2024-11-15,2024-11-28,3333.33,3387.88,54.54,1.64,0.000000,False
CCO.TO,2024-11-18,2024-11-22,3333.33,3635.76,302.42,9.07,0.024385,False
ISRG,2024-11-18,2024-11-22,3333.33,3460.72,127.39,3.82,0.007276,False
PFG,2024-11-18,2024-11-28,3333.33,3363.16,29.83,0.89,-0.003642,False
ADBE,2024-11-19,2024-11-20,3333.33,3388.08,54.75,1.64,0.006301,False
DE,2024-11-19,2024-11-20,3333.33,3366.84,33.51,1.01,0.001254,False
IP,2024-11-19,2024-11-20,3333.33,3359.35,26.01,0.78,0.014672,False
AMT,2024-11-19,2024-11-25,3333.33,3426.65,93.31,2.80,0.008551,False
FDX,2024-11-19,2024-11-26,3333.33,3447.63,114.30,3.43,0.004395,False
PG,2024-11-19,2024-11-26,3333.33,3446.69,113.36,3.40,0.000366,False
PNR,2024-11-19,2024-11-26,3333.33,3431.07,97.74,2.93,0.000339,False
AVGO,2024-11-19,2024-11-28,3333.33,3206.67,-126.66,-3.80,-0.007121,False
MSFT,2024-11-20,2024-11-22,3333.33,3300.56,-32.77,-0.98,-0.002901,False
ADBE,2024-11-21,2024-11-22,3333.33,3335.62,2.29,0.07,0.004018,False
PLTR,2024-11-21,2024-11-25,3333.33,3568.23,234.90,7.05,-0.009860,False
UNH,2024-11-21,2024-11-25,3333.33,3321.57,-11.76,-0.35,-0.003660,False
SLB,2024-11-21,2024-11-28,3333.33,3320.23,-13.10,-0.39,0.004344,False
DUK,2024-11-22,2024-11-25,3333.33,3321.04,-12.29,-0.37,-0.006434,False
PGR,2024-11-22,2024-11-28,3333.33,3363.34,30.00,0.90,0.006273,False
XOM,2024-11-22,2024-11-28,3333.33,3231.89,-101.44,-3.04,-0.000219,False
OXY,2024-11-22,2024-11-28,3333.33,3253.13,-80.20,-2.41,0.004010,False
PAYX,2024-11-22,2024-11-28,3333.33,3359.95,26.61,0.80,0.000187,False
PEG,2024-11-22,2024-11-28,3333.33,3379.33,46.00,1.38,-0.003693,False
MSFT,2024-11-25,2024-11-26,3333.33,3341.91,8.58,0.26,0.000872,False
CAT,2024-11-25,2024-11-28,3333.33,3361.21,27.88,0.84,0.012772,False
BA,2024-11-25,2024-11-28,3333.33,3367.33,34.00,1.02,0.014400,False
CCO.TO,2024-11-25,2024-12-11,3333.33,3192.87,-140.46,-4.21,-0.034941,False
