period,tier,tier_label,n_stocks,train_start,train_end,test_start,test_end,train_avg_return,train_avg_sharpe,train_avg_win_rate,test_avg_return,test_avg_sharpe,test_avg_win_rate,return_degradation,stocks
1,1,BEST,119,2021-08-15,2023-02-06,2023-02-07,2023-08-06,30.021904422754403,0.4419251015895482,43.15527842838766,2.453880500656656,-1.3627954828963273,24.71258200249797,27.568023922097748,"ABBV,ADM,ADP,ALB,AMD,AMGN,ANET,APA,APD,APH,ARE,ATO,AVGO,AZO,BA,BG,BKR,BLDR,BMY,CAH,CEG,CI,CME,COP,COR,COST,CPB,CTVA,CVNA,CVX,DAY,DE,DLTR,DOW,DPZ,DVN,EOG,ERIE,ESS,ETR,EXR,F,FANG,FAST,FCX,FE,FRT,FSLR,GD,GILD,GIS,GPC,GWW,HAL,HII,HPE,HWM,INCY,INVH,KIM,LIN,LLY,LMT,LYV,MCK,MOH,MPC,MPWR,MRK,MSI,MTB,NEE,NI,NUE,NVDA,NWSA,OKE,OMC,ON,ORCL,OTIS,OXY,PCAR,PCG,PFE,PFG,PG,PLD,PM,PNW,POOL,PPL,SBAC,SLB,SMCI,SO,SRE,STLD,STX,SYY,TDG,TKO,TRGP,TRV,TSLA,TT,UDR,VICI,VLO,VRSN,VRTX,VST,WAB,WMB,WMT,WRB,WTW,WY,XOM"
1,2,GOOD,119,2021-08-15,2023-02-06,2023-02-07,2023-08-06,-6.302874561307673,-0.2157012348924891,31.073039043354097,3.466025191175529,-1.383417543415189,32.26557289582499,-9.768899752483202,"A,AAPL,ABNB,ABT,ACGL,ACN,ADBE,ADI,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALGN,ALL,ALLE,AMAT,AMCR,AME,AMP,AMT,AMZN,AON,AOS,APO,APP,APTV,ARES,AVB,AVY,AWK,AXON,AXP,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BIIB,BK,BKNG,BLK,BR,BRK-B,BRO,BSX,BX,BXP,C,CAG,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CHD,CHRW,CHTR,CINF,CL,CLX,CMCSA,CMI,CMS,CNP,COF,COO,CPAY,CPRT,CPT,CRH,CRL,CRM,CRWD,CSCO,CSGP,CSX,CTAS,CTRA,CTSH,DASH,DD,DGX,DTE,DUK,EIX,EME,EMR,EXC,HD,HSIC,IBKR,IR,IRM,JBHT,KKR,KMI,MCD,MET,MLM,MTD,ODFL,PAYX,PH,RCL,SPG,STZ,UHS,WELL"
1,3,FAIR,119,2021-08-15,2023-02-06,2023-02-07,2023-08-06,-13.033218991765025,-0.4696028456415928,27.466614363430832,1.4773299723514746,-2.1930511675814133,29.498466053087903,-14.5105489641165,"CVS,D,DAL,DDOG,DECK,DELL,DG,DHI,DHR,DIS,DLR,DOC,DOV,DRI,DVA,DXCM,EA,EBAY,ECL,ED,EFX,EG,EL,ELV,EPAM,EQIX,EQR,EQT,ES,ETN,EVRG,EW,EXE,EXPD,FDS,FDX,FIS,FISV,FITB,FIX,FOX,FOXA,FTNT,GDDY,GE,GEN,GL,GLW,GM,GNRC,GOOG,GOOGL,GPN,GRMN,GS,HAS,HBAN,HCA,HIG,HOLX,HON,HOOD,HRL,HST,HSY,HUBB,HUM,IBM,ICE,IDXX,IEX,IFF,INTC,IP,IQV,ISRG,IT,ITW,IVZ,J,JBL,JCI,JKHY,JNJ,JPM,KDP,KEYS,KHC,KLAC,KMB,KO,KR,L,LDOS,LEN,LH,LHX,LII,LNT,LOW,LULU,LUV,LVS,LW,LYB,MA,MAA,MAR,MAS,MCHP,MDLZ,MDT,META,MGM,MKC,MMC,MMM,MNST,MO"
1,4,POOR,122,2021-08-15,2023-02-06,2023-02-07,2023-08-06,-16.39981143238429,-0.44719603079793935,26.323496161197436,1.1830360008850065,-1.1843477426240692,26.92037470725995,-17.582847433269297,"COIN,EXPE,HPQ,LRCX,MRNA,MS,MSCI,MSFT,MTCH,MU,NDAQ,NDSN,NEM,NFLX,NKE,NOC,NOW,NRG,NSC,NTAP,NTRS,NVR,NWS,NXPI,O,ORLY,PANW,PAYC,PEG,PEP,PGR,PHM,PKG,PLTR,PNC,PNR,PODD,PPG,PRU,PSA,PSKY,PSX,PTC,PYPL,QCOM,REG,REGN,RF,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,RVTY,SBUX,SCHW,SHW,SJM,SNA,SNPS,SPGI,STE,STT,SW,SWK,SWKS,SYF,SYK,T,TAP,TECH,TEL,TER,TFC,TGT,TJX,TMO,TMUS,TPR,TRMB,TROW,TSCO,TSN,TTD,TTWO,TXN,TXT,TYL,UAL,UBER,ULTA,UNH,UNP,UPS,URI,USB,V,VMC,VRSK,VTR,VTRS,VZ,WAT,WBD,WDAY,WDC,WFC,WM,WSM,WST,WYNN,XEL,XYL,XYZ,YUM,ZBH,ZBRA,ZTS"
2,1,BEST,119,2021-11-13,2023-05-07,2023-05-08,2023-11-04,18.963601423641197,0.33380440161279845,41.930457223339076,-0.11578719300396599,-1.7679935083994338,25.900360144057622,19.079388616645165,"AAPL,ABBV,ACGL,ADM,AES,AFL,AMD,AMGN,ANET,APD,ARE,ATO,AVB,AXON,AZO,BA,BKNG,BKR,BLDR,BMY,BRK-B,BSX,CAH,CDW,CEG,CHD,CI,CLX,CNP,COP,COR,COST,CPAY,CPB,CTSH,CTVA,CVNA,CVX,DE,DLTR,DOW,DTE,DUK,EG,ETR,EXR,FCX,FSLR,GD,GE,GILD,GIS,GWW,HAL,HCA,HII,HPE,HSY,HWM,INCY,INVH,KHC,KMB,KMI,L,LIN,LLY,LMT,LULU,LW,MCD,MCK,MKC,MLM,MO,MOH,MPC,MRK,MSI,NEE,NUE,NVDA,OKE,OMC,ORCL,ORLY,OTIS,OXY,PCG,PEP,PFE,PG,PM,PNW,PPL,RCL,ROL,SBAC,SLB,SMCI,SO,SRE,STLD,SYY,TAP,TDG,TKO,TRGP,TRV,TTD,UDR,UHS,V,VICI,VRTX,VTR,WMB,WMT,XOM"
2,2,GOOD,119,2021-11-13,2023-05-07,2023-05-08,2023-11-04,-16.939851608750622,-0.5201322311506442,27.03430029795109,1.4811198663708098,-0.8597045794017079,30.305122048819527,-18.420971475121434,"A,ABNB,ABT,ACN,ADBE,ADI,ADP,ADSK,AEE,AEP,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AME,AMP,AMT,AMZN,AON,AOS,APA,APH,APO,APP,APTV,ARES,AVGO,AVY,AWK,AXP,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BG,BIIB,BK,BLK,BR,BRO,BX,BXP,C,CAG,CARR,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CHRW,CHTR,CINF,CL,CMCSA,CME,CMI,CMS,COF,COIN,COO,CPRT,CPT,CRH,CRL,CRM,CRWD,CSCO,CSGP,CSX,CTAS,CTRA,CVS,D,DAL,DASH,DAY,DD,DDOG,DECK,DELL,DG,DGX,DHI,DHR,DIS,DLR,DOC,DOV,DPZ,DRI,DVA,DVN,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,ELV,EME,EMR,EOG,EPAM,EQIX,WST"
2,3,FAIR,119,2021-11-13,2023-05-07,2023-05-08,2023-11-04,-16.073928678178934,-0.6277665773890734,27.068363349583265,-0.915347093180151,-0.8997615231448469,30.462184873949578,-15.158581584998783,"EQR,EQT,ERIE,ES,ESS,ETN,EVRG,EW,EXC,EXE,EXPD,EXPE,F,FANG,FAST,FDS,FDX,FE,FIS,FISV,FITB,FIX,FOX,FOXA,FRT,FTNT,GDDY,GEN,GL,GLW,GM,GNRC,GOOG,GOOGL,GPC,GPN,GRMN,GS,HAS,HBAN,HD,HIG,HOLX,HON,HOOD,HPQ,HRL,HSIC,HST,HUBB,HUM,IBKR,IBM,ICE,IDXX,IEX,IFF,INTC,IP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JBL,JCI,JKHY,JNJ,JPM,KDP,KEYS,KIM,KKR,KLAC,KO,KR,LDOS,LEN,LH,LHX,LII,LNT,LOW,LRCX,LUV,LVS,LYB,LYV,MA,MAA,MAR,MAS,MCHP,MDLZ,MDT,MET,MGM,MMC,MMM,MNST,MPWR,MRNA,MS,MSCI,MSFT,MTB,MTCH,MTD,MU,NDAQ,NDSN,NEM,NFLX,NI,NKE"
2,4,POOR,122,2021-11-13,2023-05-07,2023-05-08,2023-11-04,-18.37596031276066,-0.5573626273672192,27.200933991175326,1.1241340204939716,-0.6902734591867841,32.96187874056726,-19.500094333254633,"META,NOC,NOW,NRG,NSC,NTAP,NTRS,NVR,NWS,NWSA,NXPI,O,ODFL,ON,PANW,PAYC,PAYX,PCAR,PEG,PFG,PGR,PH,PHM,PKG,PLD,PLTR,PNC,PNR,PODD,POOL,PPG,PRU,PSA,PSKY,PSX,PTC,PYPL,QCOM,REG,REGN,RF,RJF,RL,RMD,ROK,ROP,ROST,RSG,RTX,RVTY,SBUX,SCHW,SHW,SJM,SNA,SNPS,SPG,SPGI,STE,STT,STX,STZ,SW,SWK,SWKS,SYF,SYK,T,TECH,TEL,TER,TFC,TGT,TJX,TMO,TMUS,TPR,TRMB,TROW,TSCO,TSLA,TSN,TT,TTWO,TXN,TXT,TYL,UAL,UBER,ULTA,UNH,UNP,UPS,URI,USB,VLO,VMC,VRSK,VRSN,VST,VTRS,VZ,WAB,WAT,WBD,WDAY,WDC,WELL,WFC,WM,WRB,WSM,WTW,WY,WYNN,XEL,XYL,XYZ,YUM,ZBH,ZBRA,ZTS"
3,1,BEST,119,2022-02-11,2023-08-05,2023-08-06,2024-02-02,30.855467049880744,0.3796134985302846,41.42611631242379,3.9308234253716314,-0.28680749707546044,26.458583433373345,26.924643624509113,"ABBV,ACGL,ADM,ADP,AES,ALB,AMD,AMGN,ANET,APD,APH,APO,AVGO,AZO,BA,BKNG,BKR,BLDR,BLK,BR,CAH,CARR,CAT,CCL,CDW,CHD,CI,COP,COR,COST,CPRT,CRH,CTVA,CVNA,CVX,DE,DPZ,EME,ERIE,ESS,ETN,EXR,FCX,FDX,FRT,FSLR,GD,GE,GEN,GILD,GWW,HAL,HCA,HII,HON,HPE,HUBB,HWM,ICE,INCY,INVH,IRM,ISRG,JBL,KIM,L,LII,LIN,LLY,LMT,LW,MCD,MCK,META,MLM,MOH,MPC,MRK,MSI,NUE,NVDA,NXPI,O,OKE,ON,ORCL,ORLY,PCG,PG,PH,PNW,PPL,RCL,REG,ROK,ROL,ROP,SCHW,SMCI,SO,SPGI,SRE,STLD,TDG,TKO,TRV,TSLA,TT,TTD,UBER,UDR,UHS,URI,WAB,WELL,WMB,WMT,WST,ZBH"
3,2,GOOD,119,2022-02-11,2023-08-05,2023-08-06,2024-02-02,-5.492307337817397,-0.298147464033948,32.236722241632876,3.1867374615764965,-0.32536713092079617,28.174269707883152,-8.679044799393894,"A,AAPL,ABT,ACN,ADBE,ADI,ADSK,AEE,AEP,AFL,AIG,AIZ,AJG,AKAM,ALL,ALLE,AMAT,AMCR,AME,AMP,AMT,AMZN,AON,AOS,APA,APP,APTV,ARE,ARES,ATO,AVB,AVY,AWK,AXON,AXP,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BG,BIIB,BK,BMY,BRK-B,BRO,BSX,BX,BXP,C,CAG,CB,CBOE,CBRE,CCI,CDNS,CEG,CHRW,CHTR,CINF,CL,CLX,CMCSA,CME,CMI,CMS,CNP,COF,COIN,COO,CPAY,CPB,CPT,CRL,CRM,CRWD,CSCO,CSGP,CSX,CTAS,CTRA,DASH,DECK,DOW,DTE,EMR,EQR,EQT,ETR,F,FISV,GIS,GPC,INTC,JBHT,KKR,KMB,LDOS,LEN,LH,LULU,MA,NEE,PANW,PCAR,PLTR,POOL,RJF,SBAC,SLB,STX,STZ,TRGP,VMC,VRSK,VRTX,VTR"
