symbol,final_value,return_pct,annualized_return,spy_return,outperformance,sharpe,sqn,max_drawdown,total_trades,wins,losses,win_rate,rr_ratio,profit_factor,expectancy,avg_trade_len
PG,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
ITW,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
UNP,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
BHP,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
RIO,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
PFE,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
VZ,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
D,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
JD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
XPEV,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
MARA,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
SJM,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
CHD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
LQD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
TLT,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
COTY,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
CACC,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
AM,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EWD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
KBWD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
HSIC,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
ATUS,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
MET,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
LTC,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EWA,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
WMK,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EWQ,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
FVD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EWN,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
RYLD,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EWG,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
ESS,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
EQR,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
REG,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
UDR,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
AVB,10000.0,0.0,0.0,46.60432058888271,-46.60432058888271,0,0,0.0,0,0,0,0,0,0,0,0
