symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
A,10000,10459.848498853311,459.84849885331096,4.5984849885331025,2.282560707043335,49.115207123903474,-44.51672213537037,0.1050521697159077,0.22585379910646802,0.21904799378149403,20.36045001999442,2085.6378998841283,5,2,3,40.0,1150.955866976792,614.0210783667575,1.8744566066660682,1.2496377377773789,91.96969977066237,1684.149941754783,-839.4350911741717,53.0,133,2,3
AAPL,10000,14766.776106146497,4766.776106146497,47.66776106146497,21.61301837101948,49.115207123903474,-1.4474460624385017,1.0709867258541426,3.0272447298965526,1.3792030126407955,15.74625288491092,2047.4168052319164,5,3,2,60.0,2065.0008365194735,714.1132017059615,2.8916995675004262,4.337549351250639,953.3552212292994,3278.1503086546345,-765.4373506679906,75.2,158,2,1
ABBV,10000,13673.405202001348,3673.405202001348,36.73405202001347,17.006237087465912,49.115207123903474,-12.381155103890002,0.9112630208025377,2.2383773644734917,1.662139365939411,16.411018357779906,2224.058955784709,5,3,1,60.0,1494.0312719080018,756.4889066914066,1.974954634090173,5.924863902270519,593.8232004682385,2397.433848997735,-756.4889066914066,84.25,127,3,1
ABNB,10000,8488.25414276123,-1511.7458572387695,-15.117458572387699,-7.898354171238298,49.115207123903474,-64.23266569629118,-0.7990254279841721,-0.4841550046925436,-0.7722944908909712,31.224418679690913,3853.70499420166,9,2,7,22.22222222222222,933.1500854492185,482.5780040196009,1.9336772038439547,0.5524792010982728,-167.97176191541874,1386.7604064941406,-835.7300720214838,29.444444444444443,64,2,5
ABT,10000,11034.01506978875,1034.0150697887493,10.340150697887495,5.063511752173788,49.115207123903474,-38.77505642601598,1.0777376553189941,0.5852565698622341,0.49828272812370683,17.667722551703275,2277.870394251184,6,2,3,33.33333333333333,1135.2780597834726,456.3802807528889,2.4875703610826667,1.6583802407217778,74.1724994258982,1423.3023183377716,-603.2946912992152,59.8,118,2,2
ACGL,10000,9414.576393509908,-585.4236064900924,-5.8542360649009195,-2.9829193173519064,49.115207123903474,-54.96944318880439,-1.019093791767254,-0.21753453121569694,-1.678171934975006,26.911755261035484,3054.3741263230822,6,1,4,16.666666666666664,435.12110747883037,454.81617116801175,0.9566966503442422,0.23917416258606056,-306.49329139353813,435.12110747883037,-623.7044734904063,46.4,74,1,4
ACN,10000,11495.073710473707,1495.0737104737073,14.950737104737065,7.2448439413810295,49.115207123903474,-34.16447001916641,0.7735881356647389,0.6172347632656973,-0.11303272134220918,24.22212421354063,3044.527414530623,6,2,3,33.33333333333333,1022.295182780913,773.9723892611431,1.3208419279101495,0.8805612852734331,-175.2165319137912,2024.4582831572122,-1041.4412701350852,39.6,106,2,2
ADBE,10000,4651.761291503906,-5348.238708496094,-53.48238708496093,-31.90008128172863,49.115207123903474,-102.59759420886441,-1.44758612577855,-0.9405185313832225,-5.920730333716864,56.864788199658626,6089.559234619141,12,0,11,0.0,0.0,488.1890009099787,0.0,0.0,-488.1890009099787,0.0,-1067.5595397949219,13.454545454545455,36,0,11
ADI,10000,11777.338557809899,1777.3385578098987,17.773385578098978,8.558818505901368,49.115207123903474,-31.341821545804496,1.113882284230559,0.5541544151458652,-0.306735992791752,32.07298379716175,4146.410727451241,8,3,4,37.5,802.4555296604861,821.6382358651838,0.9766530994209413,0.7324898245657059,-212.60307379305755,2017.7059702608024,-1650.3001896818364,44.57142857142857,87,1,2
ADM,10000,10099.089258108876,99.08925810887558,0.9908925810887537,0.49619889979022336,49.115207123903474,-48.12431454281472,-0.08140082969671883,0.027860657021528068,-0.18857940322892794,35.56601627603707,4394.560925138289,7,2,4,28.57142857142857,1225.4919803350533,721.1735962946051,1.6993023408394865,0.8496511704197433,-164.98343154327415,1539.9799513048288,-888.467459383239,52.333333333333336,111,1,4
ADP,10000,10507.43923676378,507.43923676377926,5.074392367637803,2.5159088085814796,49.115207123903474,-44.04081475626567,0.11373011080655464,0.297822342535943,0.17108966127711753,17.038319974349793,2121.18741424357,7,2,4,28.57142857142857,1122.8419373518825,469.90117108167544,2.3895278549044447,1.1947639274522224,-14.831711529230347,1802.567142918426,-809.4874873175663,50.333333333333336,133,1,2
ADSK,10000,7446.769012451172,-2553.230987548828,-25.53230987548828,-13.755998712435357,49.115207123903474,-74.64751699939175,-1.4254479106048135,-0.8584762014943123,-1.493671442962076,29.741430025719172,3066.579299926758,9,2,6,22.22222222222222,501.90963745117165,494.95159403483063,1.014058028098504,0.33801934269950135,-273.4268759268301,762.4192199707027,-698.2603149414053,25.0,61,1,5
AEE,10000,13596.355882192898,3596.355882192898,35.963558821928984,16.67479426019911,49.115207123903474,-13.15164830197449,0.8373605527008354,2.9479714668987524,1.6054121202023361,12.199425681606893,1704.1651020722802,4,3,1,75.0,1313.2704282526406,343.4554025650242,3.8237000159111125,11.471100047733337,899.0889705482244,2637.2057108666277,-343.4554025650242,92.75,167,2,1
